cluster	entry_ID
4228_0	4228_0
4232_0	4232_0
4232_0	4401_0
4232_0	5738_0
4236_0	4236_0
4237_0	4237_0
4242_0	4242_0
4248_0	4248_0
4249_0	4249_0
4249_0	27131_0
4252_0	4252_0
4252_0	4251_0
4255_0	4255_0
4256_0	4256_0
4256_0	4254_0
4262_0	4262_0
4262_0	5396_0
4262_0	7196_0
4262_0	7199_0
4262_0	7200_0
4262_0	17125_0
4262_0	17310_0
4262_0	17311_0
4263_0	4263_0
4263_0	4683_0
4265_0	4265_0
4269_0	4269_0
4282_0	4282_0
4285_0	4285_0
4285_0	4982_0
4285_0	6583_0
4285_0	15296_0
4285_0	16050_0
4285_0	16360_0
4285_0	17857_0
4285_0	18087_0
4285_0	18089_0
4285_0	18101_0
4285_0	18230_0
4285_0	18231_0
4285_0	18545_0
4286_0	4286_0
4289_0	4289_0
4294_0	4294_0
4295_0	4295_0
4297_0	4297_0
4297_0	4075_0
4297_0	5122_0
4300_0	4300_0
4300_0	4299_0
4301_0	4301_0
4302_0	4302_0
4302_0	11114_0
4304_0	4304_0
4306_0	4306_0
4306_0	4128_0
4308_0	4308_0
4317_0	4317_0
4317_0	15117_0
4317_0	25793_0
4318_0	4318_0
4321_0	4321_0
4324_0	4324_0
4324_0	4023_0
4324_0	5397_0
4324_0	19043_0
4324_0	34430_0
4324_0	6680_0
4326_0	4326_0
4328_0	4328_0
4329_0	4329_0
4331_0	4331_0
4333_0	4333_0
4334_0	4334_0
4335_0	4335_0
4336_0	4336_0
4336_0	4337_0
4336_0	4338_0
4343_0	4343_0
4343_0	19737_0
4344_0	4344_0
4345_0	4345_0
4345_0	4339_0
4348_0	4348_0
4352_0	4352_0
4352_0	4293_0
4353_0	4353_0
4355_0	4355_0
4357_0	4357_0
4357_0	4358_0
4357_0	4359_2
4357_0	5349_0
4360_0	4360_0
4369_0	4369_0
4370_0	4370_0
4371_0	4371_0
4373_0	4373_0
4374_0	4374_0
4376_0	4376_0
4378_0	4378_0
4378_0	6942_0
4378_0	16334_0
4378_0	16726_0
4381_0	4381_0
4382_0	4382_0
4385_0	4385_0
4386_0	4386_0
4391_0	4391_0
4394_0	4394_0
4395_0	4395_0
4396_0	4396_0
4397_0	4397_0
4402_0	4402_0
4402_0	26958_0
4402_0	51006_0
4402_0	51007_0
4403_0	4403_0
4405_0	4405_0
4407_0	4407_0
4411_0	4411_0
4413_0	4413_0
4417_0	4417_0
4417_0	25272_0
4417_0	27040_0
4417_0	34383_0
4421_0	4421_0
4423_0	4423_0
4423_0	34523_0
4424_0	4424_0
4426_0	4426_0
4426_0	4425_0
4428_0	4428_0
4428_0	17698_0
4428_0	VILHP
4430_0	4430_0
4430_0	15418_0
4430_0	18854_0
4430_0	18868_0
4431_0	4431_0
4437_0	4437_0
4438_0	4438_0
4445_0	4445_0
4447_0	4447_0
4449_0	4449_0
4451_0	4451_0
4452_0	4452_0
4453_0	4453_0
4453_0	17626_0
4453_0	17627_0
4454_1	4454_1
4455_0	4455_0
4457_0	4457_0
4460_0	4460_0
4463_0	4463_0
4466_0	4466_0
4470_0	4470_0
4473_0	4473_0
4473_0	16954_0
4475_0	4475_0
4478_0	4478_0
4486_0	4486_0
4491_0	4491_0
4491_0	4140_0
4496_0	4496_0
4497_0	4497_0
4497_0	4599_0
4497_0	27395_0
4497_0	36077_0
4497_0	36078_0
4510_0	4510_0
4514_0	4514_0
4519_0	4519_0
4527_0	4527_0
4527_0	4528_0
4527_0	5303_0
4527_0	25124_0
4527_0	25125_0
4527_0	4762
4540_0	4540_0
4559_0	4559_0
4560_0	4560_0
4564_0	4564_0
4565_0	4565_0
4566_0	4566_0
4566_0	4074_0
4566_0	5337_0
4566_0	7390_1
4566_0	15301_1
4566_0	27673_0
4566_0	28002_0
4567_0	4567_0
4571_0	4571_0
4572_0	4572_0
4574_0	4574_0
4575_0	4575_0
4580_0	4580_0
4583_0	4583_0
4584_0	4584_0
4589_0	4589_0
4590_0	4590_0
4593_0	4593_0
4600_0	4600_0
4600_0	4498_0
4603_0	4603_0
4619_0	4619_0
4621_0	4621_0
4622_0	4622_0
4623_0	4623_0
4623_0	4241_0
4636_0	4636_0
4637_0	4637_0
4644_0	4644_0
4648_0	4648_0
4663_0	4663_0
4663_0	4493_0
4664_0	4664_0
4664_0	16682_0
4664_0	17577_0
4666_0	4666_0
4668_0	4668_0
4670_0	4670_0
4674_0	4674_0
4677_0	4677_0
4678_0	4678_0
4679_0	4679_0
4680_0	4680_0
4682_0	4682_0
4682_0	4681_0
4688_0	4688_0
4689_0	4689_0
4689_0	25029_0
4689_0	4689
4697_0	4697_0
4698_0	4698_0
4700_1	4700_1
4701_0	4701_0
4701_0	4086_0
4704_0	4704_0
4706_0	4706_0
4707_0	4707_0
4707_0	4708_0
4707_0	15532_0
4707_0	15533_0
4707_0	50236_0
4707_0	50405_0
4707_0	4710_0
4707_0	4709_0
4711_0	4711_0
4716_0	4716_0
4717_0	4717_0
4719_0	4719_0
4721_0	4721_0
4722_0	4722_0
4726_0	4726_0
4727_0	4727_0
4729_0	4729_0
4734_0	4734_0
4734_0	4732_0
4739_0	4739_0
4740_0	4740_0
4742_0	4742_0
4742_0	4588_0
4748_0	4748_0
4751_0	4751_0
4752_0	4752_0
4757_0	4757_0
4758_0	4758_0
4761_0	4761_0
4765_0	4765_0
4766_0	4766_0
4768_0	4768_0
4768_0	18615_0
4773_0	4773_0
4775_0	4775_0
4777_0	4777_0
4777_0	4471_0
4778_0	4778_0
4778_0	4770_0
4782_0	4782_0
4784_0	4784_0
4786_0	4786_0
4786_0	4785_0
4787_0	4787_0
4788_0	4788_0
4791_0	4791_0
4792_0	4792_0
4793_0	4793_0
4795_0	4795_0
4795_0	4794_0
4796_0	4796_0
4797_0	4797_0
4811_0	4811_0
4811_0	4332_0
4814_0	4814_0
4817_0	4817_0
4818_0	4818_0
4819_0	4819_0
4821_0	4821_0
4825_0	4825_0
4828_0	4828_0
4828_0	4827_0
4829_0	4829_0
4830_0	4830_0
4833_0	4833_0
4834_0	4834_0
4836_0	4836_0
4839_0	4839_0
4840_0	4840_0
4841_0	4841_0
4841_0	4874_0
4841_0	5808_0
4841_0	6899_0
4843_0	4843_0
4843_0	5004_0
4843_0	IL13
4850_0	4850_0
4851_0	4851_0
4856_0	4856_0
4857_0	4857_0
4858_0	4858_0
4863_0	4863_0
4869_0	4869_0
4870_0	4870_0
4870_0	15930_0
4870_0	15936_0
4870_0	15975_0
4871_0	4871_0
4876_0	4876_0
4876_0	4883_0
4876_0	4887_0
4878_0	4878_0
4879_0	4879_0
4879_0	16270_0
4879_0	19624_0
4879_0	19826_0
4879_0	34379_0
4880_0	4880_0
4881_0	4881_0
4881_0	4886_0
4881_0	15474_0
4888_0	4888_0
4888_0	4889_0
4888_0	16750_0
4893_0	4893_0
4894_0	4894_0
4895_0	4895_0
4896_0	4896_0
4898_0	4898_0
4898_0	4579_0
4899_0	4899_0
4900_0	4900_0
4901_0	4901_0
4901_0	11578_1
4901_0	11594_1
4901_0	36013_1
4901_0	36101_1
4902_0	4902_0
4906_0	4906_0
4908_0	4908_0
4908_0	11102_0
4909_0	4909_0
4911_0	4911_0
4911_0	4305_0
4911_0	4912_0
4911_0	4931_0
4911_0	6096_0
4911_0	15076_0
4911_0	15077_0
4911_0	15078_0
4911_0	15953_0
4911_0	16847_0
4911_0	17692_0
4915_0	4915_0
4918_0	4918_0
4919_0	4919_0
4922_0	4922_0
4922_0	4019_0
4922_0	19247_0
4925_0	4925_0
4927_0	4927_0
4928_0	4928_0
4929_0	4929_0
4933_0	4933_0
4933_0	4930_0
4934_0	4934_0
4935_0	4935_0
4939_0	4939_0
4940_0	4940_0
4941_0	4941_0
4942_0	4942_0
4944_0	4944_0
4945_0	4945_0
4952_0	4952_0
4953_0	4953_0
4954_0	4954_0
4956_0	4956_0
4957_0	4957_0
4958_0	4958_0
4959_0	4959_0
4961_0	4961_0
4961_0	4558_0
4963_0	4963_0
4965_0	4965_0
4967_0	4967_0
4969_0	4969_0
4973_0	4973_0
4974_0	4974_0
4974_0	51230_0
4974_0	51234_0
4974_0	51235_0
4974_0	51236_0
4974_0	51230
4974_0	4926_0
4977_0	4977_0
4978_0	4978_0
4984_0	4984_0
4985_0	4985_0
4989_0	4989_0
4991_0	4991_0
4992_0	4992_0
4996_0	4996_0
4998_0	4998_0
4999_0	4999_0
5000_0	5000_0
5000_0	5552_0
5009_0	5009_0
5009_0	5008_0
5012_0	5012_0
5014_0	5014_0
5018_0	5018_0
5022_0	5022_0
5027_0	5027_0
5030_0	5030_0
5031_0	5031_0
5036_0	5036_0
5040_0	5040_0
5041_0	5041_0
5042_0	5042_0
5042_0	5251_0
5042_0	15110_0
5042_0	15215_0
5042_0	25693_0
5044_0	5044_0
5047_0	5047_0
5048_0	5048_0
5048_0	5319_0
5048_0	5579_0
5051_0	5051_0
5053_0	5053_0
5054_0	5054_0
5054_0	4448_0
5055_0	5055_0
5059_0	5059_0
5060_0	5060_0
5061_0	5061_0
5061_0	17880_0
5062_0	5062_0
5065_0	5065_0
5070_0	5070_0
5071_0	5071_0
5076_0	5076_0
5076_0	4147_0
5077_0	5077_0
5078_0	5078_0
5081_0	5081_0
5081_0	4309_0
5084_0	5084_0
5084_0	5085_0
5084_0	7033_1
5084_0	10019_1
5093_0	5093_0
5094_0	5094_0
5100_0	5100_0
5101_0	5101_0
5102_0	5102_0
5104_0	5104_0
5105_0	5105_0
5106_0	5106_0
5107_0	5107_0
5116_0	5116_0
5116_0	5115_0
5119_0	5119_0
5119_0	4316_0
5126_0	5126_0
5127_0	5127_0
5127_0	4892_0
5127_0	5247_0
5127_0	18169_1
5127_0	25069_0
5127_0	25136_0
5127_0	25208_0
5127_0	26946_0
5127_0	26956_0
5128_0	5128_0
5128_0	5058_0
5128_0	5064_0
5128_0	17412_0
5129_0	5129_0
5133_0	5133_0
5133_0	5056_0
5133_0	5132_0
5141_0	5141_0
5145_0	5145_0
5145_0	4938_0
5147_0	5147_0
5155_0	5155_0
5156_0	5156_0
5159_0	5159_0
5161_0	5161_0
5162_0	5162_0
5165_0	5165_0
5166_0	5166_0
5166_0	15486_0
5166_0	25296_0
5174_0	5174_0
5177_0	5177_0
5177_0	6004_0
5177_0	30877_0
5178_0	5178_0
5180_0	5180_0
5181_0	5181_0
5186_0	5186_0
5186_0	5185_0
5187_0	5187_0
5189_0	5189_0
5189_0	18425_0
5190_0	5190_0
5191_0	5191_0
5194_0	5194_0
5194_0	17838_0
5199_0	5199_0
5200_0	5200_0
5202_0	5202_0
5203_0	5203_0
5204_0	5204_0
5210_0	5210_0
5212_0	5212_0
5212_0	5211_0
5213_0	5213_0
5217_0	5217_0
5220_0	5220_0
5220_0	4731_0
5222_0	5222_0
5223_0	5223_0
5224_0	5224_0
5225_0	5225_0
5228_1	5228_1
5228_1	6874_0
5228_1	15398_0
5228_1	16363_0
5228_1	17073_0
5228_1	34188_1
5228_1	34189_1
5232_0	5232_0
5233_0	5233_0
5235_0	5235_0
5237_0	5237_0
5238_0	5238_0
5241_0	5241_0
5241_0	5240_0
5242_0	5242_0
5249_0	5249_0
5249_0	5260_0
5249_0	5271_0
5250_0	5250_0
5261_0	5261_0
5262_0	5262_0
5263_0	5263_0
5267_0	5267_0
5269_0	5269_0
5272_0	5272_0
5272_0	6880_0
5272_0	6881_0
5275_0	5275_0
5276_0	5276_0
5280_0	5280_0
5288_0	5288_0
5294_0	5294_0
5297_0	5297_0
5300_0	5300_0
5304_0	5304_0
5306_0	5306_0
5306_0	5327_0
5306_1	5306_1
5306_1	5327_1
5306_1	5788_1
5306_1	5987_1
5306_1	6268_0
5306_1	16014_0
5306_1	18650_0
5306_1	50865_0
5306_1	50867_0
5308_0	5308_0
5309_0	5309_0
5311_0	5311_0
5312_0	5312_0
5313_0	5313_0
5314_0	5314_0
5315_0	5315_0
5315_0	5389_0
5316_0	5316_0
5317_0	5317_0
5317_0	5361_0
5318_0	5318_0
5318_0	5310_0
5320_0	5320_0
5320_0	16042_0
5320_0	16046_0
5320_0	16047_0
5320_0	16048_0
5320_0	16049_0
5323_0	5323_0
5324_0	5324_0
5328_0	5328_0
5334_0	5334_0
5334_0	4649_0
5335_0	5335_0
5338_0	5338_0
5341_0	5341_0
5343_0	5343_0
5343_0	5344_0
5343_0	5969_0
5343_0	6888_0
5345_0	5345_0
5345_0	4813_0
5345_0	5791_0
5345_0	7354_1
5347_0	5347_0
5347_0	4093_0
5347_0	4097_0
5347_0	5931_0
5347_0	26718_0
5347_0	27825_0
5347_0	27826_0
5350_0	5350_0
5352_0	5352_0
5353_0	5353_0
5353_0	17849_0
5353_0	17850_0
5354_0	5354_0
5355_0	5355_0
5355_0	27858_0
5356_0	5356_0
5356_0	18703_0
5356_0	19668_0
5363_0	5363_0
5363_0	4033_0
5363_0	4034_0
5366_0	5366_0
5368_0	5368_0
5373_0	5373_0
5374_0	5374_0
5382_0	5382_0
5386_0	5386_0
5386_0	5975_0
5386_0	17103_0
5386_0	19789_0
5386_0	25495_0
5386_0	25797_0
5388_0	5388_0
5390_0	5390_0
5391_0	5391_0
5392_0	5392_0
5393_0	5393_0
5397_1	5397_1
5399_0	5399_0
5401_0	5401_0
5401_0	6287_0
5402_0	5402_0
5407_0	5407_0
5408_0	5408_0
5459_0	5459_0
5461_0	5461_0
5461_0	15912_1
5461_0	16809_1
5465_0	5465_0
5465_0	5951_0
5465_0	6158_0
5467_0	5467_0
5468_0	5468_0
5481_0	5481_0
5482_0	5482_0
5483_0	5483_0
5485_0	5485_0
5492_0	5492_0
5492_0	4259_0
5496_0	5496_0
5496_0	5500_0
5496_0	16813_0
5497_0	5497_0
5498_0	5498_0
5498_1	5498_1
5499_0	5499_0
5504_0	5504_0
5505_0	5505_0
5505_0	5858_0
5506_0	5506_0
5508_0	5508_0
5508_0	5507_0
5508_0	5509_0
5508_0	5510_0
5508_0	25986_0
5508_0	25987_0
5508_0	27515_0
5513_0	5513_0
5513_0	7307_0
5513_0	7308_0
5515_0	5515_0
5516_0	5516_0
5521_1	5521_1
5521_1	5520_1
5522_0	5522_0
5522_0	11311_0
5522_0	18466_0
5522_0	18467_0
5522_0	25425_0
5524_0	5524_0
5532_0	5532_0
5532_0	30285_0
5532_0	30675_2
5537_0	5537_0
5538_0	5538_0
5539_0	5539_0
5541_0	5541_0
5545_0	5545_0
5547_0	5547_0
5558_0	5558_0
5560_0	5560_0
5561_0	5561_0
5563_0	5563_0
5565_0	5565_0
5565_0	7243_0
5568_0	5568_0
5570_0	5570_0
5571_0	5571_0
5571_0	5540_0
5573_0	5573_0
5573_0	5572_0
5577_0	5577_0
5577_0	5576_0
5589_0	5589_0
5590_0	5590_0
5590_0	11038_0
5591_0	5591_0
5592_0	5592_0
5593_0	5593_0
5594_0	5594_0
5595_0	5595_0
5596_0	5596_0
5597_0	5597_0
5597_0	5172_0
5598_0	5598_0
5601_2	5601_2
5601_2	5601_1
5602_0	5602_0
5603_0	5603_0
5604_0	5604_0
5605_0	5605_0
5606_0	5606_0
5615_0	5615_0
5616_0	5616_0
5620_0	5620_0
5621_0	5621_0
5622_0	5622_0
5623_0	5623_0
5626_0	5626_0
5628_0	5628_0
5629_0	5629_0
5630_0	5630_0
5631_0	5631_0
5631_0	18785_0
5631_0	18786_0
5650_0	5650_0
5651_0	5651_0
5653_0	5653_0
5653_0	5633_0
5657_0	5657_0
5661_0	5661_0
5662_0	5662_0
5662_0	5175_0
5662_0	5663_0
5664_0	5664_0
5668_0	5668_0
5668_0	5398_0
5669_0	5669_0
5677_0	5677_0
5677_0	5266_0
5677_0	5924_0
5677_0	28012_0
5679_0	5679_0
5679_0	5772_0
5680_0	5680_0
5680_0	19507_0
5680_1	5680_1
5682_0	5682_0
5683_0	5683_0
5685_0	5685_0
5685_0	15919_1
5685_0	27288_0
5685_1	5685_1
5685_1	16296_0
5686_0	5686_0
5688_0	5688_0
5691_0	5691_0
5692_0	5692_0
5695_0	5695_0
5697_0	5697_0
5697_0	5696_0
5697_0	10061_0
5698_0	5698_0
5700_0	5700_0
5700_0	11012_0
5700_0	26551_0
5701_0	5701_0
5702_0	5702_0
5702_0	6192_0
5702_0	6194_0
5704_0	5704_0
5707_0	5707_0
5709_0	5709_0
5710_0	5710_0
5711_0	5711_0
5719_0	5719_0
5721_0	5721_0
5722_0	5722_0
5725_0	5725_0
5725_0	5723_0
5725_0	5724_0
5725_0	5726_0
5725_0	5727_0
5725_0	5728_0
5725_0	16215_0
5725_0	16978_0
5725_0	18710_0
5725_0	25753_0
5725_0	25755_0
5729_0	5729_0
5736_0	5736_0
5742_0	5742_0
5743_0	5743_0
5748_0	5748_0
5748_0	51010_0
5750_0	5750_0
5751_0	5751_0
5753_0	5753_0
5757_0	5757_0
5757_0	4972_0
5758_0	5758_0
5761_0	5761_0
5763_0	5763_0
5766_0	5766_0
5769_0	5769_0
5769_0	5768_0
5771_0	5771_0
5774_0	5774_0
5774_0	30652_0
5774_0	30653_0
5778_0	5778_0
5778_0	26652_0
5778_0	26651_0
5778_0	51419_0
5779_0	5779_0
5786_0	5786_0
5788_0	5788_0
5789_0	5789_0
5792_0	5792_0
5792_0	15236_0
5792_0	15237_0
5792_0	15244_0
5794_0	5794_0
5796_0	5796_0
5797_0	5797_0
5798_0	5798_0
5799_0	5799_0
5800_0	5800_0
5802_0	5802_0
5805_0	5805_0
5807_0	5807_0
5810_0	5810_0
5814_0	5814_0
5816_0	5816_0
5817_0	5817_0
5819_0	5819_0
5819_0	6965_0
5819_0	18081_0
5820_0	5820_0
5821_0	5821_0
5822_0	5822_0
5824_0	5824_0
5824_0	5825_0
5824_0	6174_0
5827_0	5827_0
5827_0	5828_0
5827_0	5829_0
5827_0	5830_0
5827_0	17847_0
5827_0	17848_0
5827_0	25418_0
5827_0	25420_0
5827_0	25422_0
5827_0	25907_0
5827_0	25908_0
5827_0	26578_0
5827_0	26973_0
5827_0	27254_0
5827_0	27556_0
5833_0	5833_0
5836_0	5836_0
5843_0	5843_0
5844_0	5844_0
5845_0	5845_0
5846_0	5846_0
5847_0	5847_0
5849_0	5849_0
5850_0	5850_0
5851_0	5851_0
5853_0	5853_0
5857_0	5857_0
5860_0	5860_0
5861_0	5861_0
5862_0	5862_0
5866_0	5866_0
5867_0	5867_0
5868_0	5868_0
5871_0	5871_0
5872_0	5872_0
5873_0	5873_0
5874_0	5874_0
5876_0	5876_0
5878_0	5878_0
5879_0	5879_0
5880_0	5880_0
5884_0	5884_0
5885_0	5885_0
5888_0	5888_0
5888_0	5887_0
5891_0	5891_0
5892_0	5892_0
5893_0	5893_0
5893_0	547_0
5893_0	1634_0
5893_0	4056_0
5893_0	4270_0
5893_0	4284_0
5893_0	4310_0
5893_0	5286_0
5893_0	5480_0
5893_0	5770_0
5893_0	5896_0
5893_0	6023_0
5893_0	6707_0
5893_0	7015_0
5893_0	7423_0
5893_0	15470_0
5893_0	15624_0
5893_0	15650_0
5893_0	15852_0
5893_0	16465_0
5893_0	17264_0
5893_0	17771_0
5893_0	17807_0
5893_0	18027_0
5893_0	18028_0
5893_0	18976_0
5893_0	19036_0
5893_0	19238_0
5893_0	19586_0
5893_0	19604_0
5893_0	25253_0
5893_0	25257_0
5893_0	25588_0
5893_0	25757_0
5893_0	25852_0
5893_0	26626_0
5893_0	26627_0
5893_0	26681_0
5893_0	26682_0
5893_0	26683_0
5893_0	26685_0
5893_0	26686_0
5893_0	26687_0
5893_0	27017_0
5893_0	27095_0
5893_0	27190_0
5893_0	27260_0
5893_0	27332_0
5893_0	27530_0
5893_0	27745_0
5893_0	27782_0
5893_0	30062_0
5893_0	30063_0
5893_0	30156_0
5893_0	30195_0
5893_0	30196_0
5893_0	34161_0
5893_0	34262_0
5893_0	34496_0
5893_0	34497_0
5893_0	34521_0
5893_0	34608_0
5893_0	36005_0
5893_0	50750_0
5893_0	50836_0
5893_0	50837_0
5893_0	50849_0
5893_0	50850_0
5893_0	50851_0
5893_0	50892_0
5893_0	51222_0
5893_0	51289_0
5893_0	51422_0
5893_0	51447_0
5893_0	51526_0
5893_0	51527_0
5893_0	51715_0
5894_0	5894_0
5897_0	5897_0
5900_0	5900_0
5901_0	5901_0
5904_0	5904_0
5908_0	5908_0
5908_0	5905_0
5910_0	5910_0
5910_0	5909_0
5912_0	5912_0
5912_0	5907_0
5920_0	5920_0
5921_0	5921_0
5928_0	5928_0
5929_0	5929_0
5930_0	5930_0
5933_0	5933_0
5936_0	5936_0
5939_0	5939_0
5940_0	5940_0
5942_0	5942_0
5943_0	5943_0
5944_0	5944_0
5946_0	5946_0
5947_0	5947_0
5950_0	5950_0
5955_0	5955_0
5956_0	5956_0
5961_0	5961_0
5963_0	5963_0
5970_0	5970_0
5974_0	5974_0
5976_0	5976_0
5977_0	5977_0
5982_0	5982_0
5983_0	5983_0
5984_0	5984_0
5987_0	5987_0
5997_0	5997_0
5998_0	5998_0
5999_0	5999_0
6000_0	6000_0
6001_0	6001_0
6003_0	6003_0
6005_0	6005_0
6008_0	6008_0
6008_0	6007_0
6010_0	6010_0
6010_0	6324_0
6011_0	6011_0
6012_0	6012_0
6013_0	6013_0
6014_0	6014_0
6015_0	6015_0
6019_0	6019_0
6019_0	5226_0
6025_0	6025_0
6028_0	6028_0
6030_0	6030_0
6030_0	6029_0
6031_0	6031_0
6032_0	6032_0
6032_0	6071_0
6032_0	6283_0
6033_0	6033_0
6033_0	10134_0
6033_0	10135_0
6033_0	25389_0
6033_0	25390_0
6034_0	6034_0
6035_0	6035_0
6043_0	6043_0
6044_0	6044_0
6045_0	6045_0
6046_0	6046_0
6047_0	6047_0
6051_0	6051_0
6052_0	6052_0
6053_0	6053_0
6058_0	6058_0
6059_0	6059_0
6061_0	6061_0
6069_0	6069_0
6072_0	6072_0
6073_0	6073_0
6075_0	6075_0
6075_0	6563_0
6075_0	15028_1
6078_0	6078_0
6079_0	6079_0
6081_0	6081_0
6086_0	6086_0
6093_0	6093_0
6093_0	5903_0
6095_0	6095_0
6095_0	16851_0
6095_0	18314_0
6095_0	18315_0
6095_0	18694_0
6095_0	18695_0
6095_0	26867_0
6095_0	50206_0
6098_0	6098_0
6099_0	6099_0
6102_0	6102_0
6103_0	6103_0
6104_0	6104_0
6108_0	6108_0
6110_0	6110_0
6110_0	4910_0
6111_0	6111_0
6113_0	6113_0
6114_0	6114_0
6117_0	6117_0
6118_0	6118_0
6120_0	6120_0
6121_0	6121_0
6121_0	16708_0
6122_0	6122_0
6125_0	6125_0
10311_0	10311_0
10311_0	11089_0
